"Block","Plot","Treatment","Date_of_collection","LDMC","LMA","Leaf_Nitrogen","Leaf_Carbon","Diameter","SRL","RDMC","RTD","Root_Nitrogen","Root_Carbon","Comment_leaf","Comment_root"
"B1","B1A01","D1",2021-05-31,0.3333,57,1.69,44.44,0.226,252.98,0.0966,0.0705,1.31665740757621,37.3080311167631,"? + No ground leaves",NA
"B1","B1A01","D2",2021-05-31,0.3369,56.54,1.7,45.85,0.231,274.39,0.2496,0.0674,1.11,39.46,"No ground leaves","unscanned: mold"
"B1","B1A01","D3",2021-05-31,0.1641,69.22,1.75,44.72,0.253,193.23,0.1514,0.0806,1.46,40.1,"No ground leaves + 5 core instead of 4 + lable: B1A01D1D1 in wrong bag",NA
"B1","B1A02","D1",2021-06-01,0.3118,52.48,1.8429169737989,44.7696566591913,0.231,142.27,0.2719,0.109,0.81,30.89,"No ground leaves",NA
"B1","B1A02","D2",2021-06-01,0.2799,55.52,1.7710214779235,44.8875985754073,0.2,190.96,0.2588,0.1293,0.83,37.98,"No ground leaves",NA
"B1","B1A02","D3",2021-06-01,0.3184,55.52,1.69232109998388,45.2678346005867,0.233,106.53,0.3313,0.1212,0.709430634442767,38.4609197019095,"No ground leaves",NA
"B1","B1A03","D1",2021-06-01,0.4463,40.34,1.72174602028674,44.5162673910077,0.212,183.36,0.1844,0.1147,1.06,40.95,"No ground leaves",NA
"B1","B1A03","D2",2021-06-01,0.2859,37.48,2.77,46.52,0.254,134.16,0.2345,0.09,1.23,28.16,"No ground leaves",NA
"B1","B1A03","D3",2021-06-01,0.2844,39.68,3.26,46.39,0.176,286.14,0.2018,0.1057,1.05,41.52,"No ground leaves + lots of Fungi on leaves",NA
"B1","B1A04","D1",2021-06-01,0.2241,54.22,4.31,47.42,0.322,184.87,0.1038,0.0426,2.12,36.75,"No ground leaves",NA
"B1","B1A04","D2",2021-06-01,0.16,61.03,1.41,44.23,0.222,189.46,0.1884,0.1097,1.21,40.39,"No ground leaves",NA
"B1","B1A04","D3",2021-06-01,0.2224,57,1.50290803151116,44.1779187822843,0.352,80.38,0.1753,0.0761,1.12,39.5,"No ground leaves",NA
"B1","B1A05","D1",2021-06-01,0.2449,59.97,4.13097317465964,47.6175451151714,0.221,369.53,0.0904,0.0543,2.05,35.61,"No ground leaves",NA
"B1","B1A05","D2",2021-06-01,0.2049,44.63,5.28,48.98,0.219,279.5,0.1229,0.0696,NA,NA,"No ground leaves",NA
"B1","B1A05","D3",2021-06-01,0.2936,72.96,3.60821937897596,45.8495507842856,0.249,250.68,0.1074,0.0593,2.09,36.24,"No ground leaves",NA
"B1","B1A06","D1",2021-06-01,0.2565,41.91,2.26,44.87,0.288,67.86,0.2499,0.1264,1.06265729249214,45.4670518720871,"No ground leaves",NA
"B1","B1A06","D2",2021-06-01,0.2887,47.95,1.84,45.07,0.234,212.9,0.2498,0.0804,1.02301565036071,43.8217362474984,"No ground leaves",NA
"B1","B1A06","D3",2021-06-01,0.252,34.97,2.21143493064559,44.8296207275821,0.242,169.9,0.1448,0.0938,1.14,40.62,"No ground leaves",NA
"B1","B1A07","D1",2021-06-01,0.2523,62.69,2.00741606590859,42.6746328208814,0.312,148.34,0.0959,0.0694,2.34,37.67,"Sample was in dry oven for some time before going to liquid N",NA
"B1","B1A07","D2",2021-06-01,0.3135,57.75,2.1826279965295,45.1276811982614,0.241,424.24,0.0641,0.0363,1.77,38.54,NA,NA
"B1","B1A08","D1",2021-06-01,0.2222,35.48,4.77893674151238,46.0500585448233,0.194,286.55,0.218,0.0935,1.12,43.28,NA,NA
"B1","B1A08","D2",2021-06-01,0.256,42.66,5.68,47.07,0.246,204.04,0.1994,0.0584,2.05,41.07,NA,NA
"B1","B1A08","D3",2021-06-01,0.2797,47,4.17,46.12,0.206,216.56,0.1876,0.1025,2.009116913365,41.6766768120379,"No ground leaves",NA
"B1","B1A11","D1",2021-06-01,0.2373,46.06,2.61116236026366,44.9534993060668,0.298,103.49,0.1622,0.0885,1.14,42.83,NA,NA
"B1","B1A11","D2",2021-06-01,0.1849,45.75,3.0253266414578,45.4899857281847,0.253,137.2,0.0879,0.1006,1.26,45.87,NA,NA
"B1","B1A11","D3",2021-06-01,0.2326,42.6,2.45,45.14,0.253,162.33,0.1503,0.0943,0.95,39.83,"No ground leaves",NA
"B1","B1A12","D1",2021-06-02,0.2127,40.2,5.14,47.57,0.165,365.23,0.2212,0.0936,1.95,43.17,NA,NA
"B1","B1A12","D2",2021-06-02,0.3024,53.46,3.54740486879689,45.6219415898072,0.222,182.57,0.2042,0.1008,2.83,36.36,NA,NA
"B1","B1A12","D3",2021-06-02,0.2549,43.28,4.51,46.54,0.202,192.15,0.2067,0.1218,2.19,37.71,NA,NA
"B1","B1A13","D1",2021-06-02,0.2542,47.59,4.39,45.42,0.216,265.28,0.1629,0.0808,1.84,36.98,NA,NA
"B1","B1A13","D2",2021-06-02,0.2578,47.58,3.42041509189001,45.3909956302489,0.21,313.99,0.166,0.0722,1.76,34.86,NA,NA
"B1","B1A13","D3",2021-06-02,0.26,41.28,3.84767474484602,45.2856252320915,0.26,140.75,0.1397,0.0948,1.5,44.53,NA,NA
"B1","B1A14","D1",2021-06-02,0.192,63.06,1.82189001135535,44.7636873508219,0.256,175.28,0.1547,0.0827,1.1562704777851,37.0841805809806,NA,NA
"B1","B1A14","D2",2021-06-02,0.2659,49.85,2.06690585495777,45.8404879032105,0.213,232.8,0.1957,0.0946,1.45,35.02,NA,NA
"B1","B1A14","D3",2021-06-02,0.3095,35.17,2.58,46.44,0.202,222.18,0.2063,0.1063,0.894666819158072,39.5820464323888,NA,NA
"B1","B1A15","D1",2021-06-02,0.1746,50.33,2.75722048724353,43.8341668587588,0.251,131.6,0.1284,0.0973,2.07,40.56,NA,NA
"B1","B1A15","D2",2021-06-02,0.1948,62,2.40211012367335,43.3137250561838,0.196,370.54,0.2017,0.0735,NA,NA,NA,NA
"B1","B1A16","D1",2021-06-02,0.3371,59.58,1.91,44.03,0.23,159.85,0.2881,0.1119,0.74,45.91,NA,NA
"B1","B1A16","D2",2021-06-02,0.3531,49.13,1.82,44.56,0.253,175.59,0.3486,0.0867,0.72,44.56,"scanned bag in oven (no metabolome)",NA
"B1","B1A16","D3",2021-06-02,0.1347,56.24,1.56827611292746,43.8109205064052,0.246,201.72,0.221,0.0852,1.00943865876146,40.1934369279777,NA,NA
"B1","B1A17","D1",2021-06-02,0.3342,56.36,1.71,44.49,0.191,187.78,0.2646,0.1459,1.22,28.75,NA,NA
"B1","B1A17","D2",2021-06-02,0.3806,52.53,2.2,45.25,0.239,127.86,0.3037,0.113,1.02,39.27,NA,NA
"B1","B1A17","D3",2021-06-02,0.3432,50.01,1.8980737837211,45.089356520657,0.209,153.33,0.2142,0.1523,1.35,41.76,NA,NA
"B1","B1A18","D2",2021-06-02,0.2358,48.86,2.15,46.38,0.232,316.32,0.1353,0.0572,1.89,36.15,NA,NA
"B1","B1A18","D3",2021-06-02,0.2721,50.02,1.8,44.93,0.261,160.18,0.1657,0.0898,1.9,39.07,NA,NA
"B1","B1A19","D1",2021-06-03,0.2881,37.12,2.1,45.06,0.229,173.94,0.1733,0.1063,1.01382668911052,33.225917381412,NA,NA
"B1","B1A19","D2",2021-06-03,0.3063,36.89,2.11,45.88,0.277,130.77,0.2347,0.0911,0.632417913214812,43.0372686778221,NA,NA
"B1","B1A19","D3",2021-06-03,0.3301,39.77,2.21745292655862,45.2385361376549,0.299,114.23,0.2052,0.0849,0.83,38.92,NA,NA
"B1","B1A20","D1",2021-06-03,0.1933,48.44,2.35,46.61,0.263,124.43,0.1458,0.1206,1.6,43.63,NA,NA
"B1","B1A20","D2",2021-06-03,0.2064,40,4.21,48.05,0.258,115.28,0.1369,0.1169,1.41,37.15,NA,NA
"B1","B1A20","D3",2021-06-03,0.191,46.17,1.85,46.47,0.334,88.45,0.1884,0.1054,1.34,43.71,NA,NA
"B1","B1A21","D1",2021-06-01,NA,56.72,2.3,43.47,0.28,128.85,0.1589,0.0894,1.23,42.14,"No ground leaves; Missing FW",NA
"B1","B1A21","D2",2021-06-01,0.2425,46.46,3.50692687641205,44.8241135458585,0.238,268.5,0.1302,0.0656,1.52,39.78,"No ground leaves",NA
"B1","B1A21","D3",2021-06-01,0.3248,45.43,2.58,46.39,0.243,142.55,0.186,0.1108,1.0643343002171,41.5981474911144,"No ground leaves",NA
"B1","B1A22","D1",2021-06-01,0.2953,29.08,2.13526867474137,43.9396763760928,0.229,147.94,0.1694,0.0929,0.79,41.07,"No ground leaves",NA
"B1","B1A22","D2",2021-06-01,0.3078,32.96,2.33786255975356,44.6953698020446,0.289,123.19,0.1451,0.0961,0.87,41.89,"No ground leaves",NA
"B1","B1A22","D3",2021-06-01,0.2847,42.05,2.66,46.19,0.281,115.7,0.1716,0.0921,1.07,43.62,"No ground leaves",NA
"B2","B2A01","D1",2021-06-03,0.2575,57.2,2.17,46.39,0.217,176.3,0.1578,0.1215,1.33615884368305,38.8940219983581,NA,NA
"B2","B2A01","D2",2021-06-03,0.2089,47.21,2.11660457825092,46.5382512154966,0.226,139.12,0.1674,0.1353,1.43918245587102,38.8860375510795,NA,NA
"B2","B2A01","D3",2021-06-03,0.2445,65.14,1.68534844233188,46.1357952071933,0.276,101.52,0.1587,0.1328,1.07,38.37,NA,NA
"B2","B2A02","D1",2021-06-03,0.3321,62.88,1.61781407405585,44.6390270037612,0.247,121,0.3126,0.137,0.902660058463312,43.3567016387378,NA,NA
"B2","B2A02","D2",2021-06-03,0.3999,108.88,1.41049629864058,45.9480447755267,0.222,111.24,0.341,0.1557,0.768615328604082,41.1539526223136,NA,NA
"B2","B2A02","D3",2021-06-03,0.3109,52.23,1.86,44.26,0.236,160.79,0.2798,0.1148,1.16,40.76,NA,NA
"B2","B2A03","D1",2021-06-03,0.3422,44.38,2.2397921019524,45.5040874584911,0.205,157,0.1853,0.1336,0.99,43.5,NA,NA
"B2","B2A03","D2",2021-06-03,0.3137,50.9,1.81,44.87,0.228,155.66,0.1646,0.1207,0.735621331793536,39.098674885452,NA,NA
"B2","B2A03","D3",2021-06-03,0.2413,37.47,2.46063477508674,45.9570608000115,0.197,204.62,0.1652,0.1142,1.04928503363678,38.7407416310711,NA,NA
"B2","B2A04","D1",2021-06-03,0.2891,59.55,2.64,46.4,0.274,145.99,0.1692,0.0911,1.56,43.55,NA,NA
"B2","B2A04","D2",2021-06-03,0.2936,52.79,2.74295595016012,46.1137316860579,0.29,137.47,0.1626,0.0907,1.76,38.88,NA,NA
"B2","B2A04","D3",2021-06-03,0.2621,51.44,2.53798910428079,45.655867229424,0.26,192.08,0.1653,0.0804,1.77,40.38,NA,NA
"B2","B2A06","D1",2021-06-03,0.1906,53.2,1.8613073014541,44.3636148988897,0.292,87.29,0.1982,0.1254,0.93,41.74,NA,NA
"B2","B2A06","D2",2021-06-03,0.2187,59.67,2.02,43.44,0.274,130.37,0.2284,0.0947,0.92,44.99,NA,NA
"B2","B2A06","D3",2021-06-03,0.1963,45.88,1.96751536825848,44.6104005066178,0.279,136.3,0.1984,0.0876,1.28,37.02,NA,NA
"B2","B2A08","D1",2021-06-04,0.3261,40.17,1.84,45.18,0.276,90.27,0.2316,0.1249,1.40985350922567,42.384023344635,NA,NA
"B2","B2A08","D2",2021-06-04,NA,NA,1.67,45.09,0.256,210.16,0.1951,0.0698,1.72,36.45,NA,NA
"B2","B2A08","D3",2021-06-04,0.3317,45.03,2.23476157241711,45.5307840543343,0.293,103.61,0.2093,0.0994,1.61,35.7,NA,NA
"B2","B2A09","D1",2021-06-04,0.195,49.9,1.73,44.85,0.271,93.58,0.1574,0.1145,1.09,38.33,NA,NA
"B2","B2A09","D2",2021-06-04,0.2154,55.5,1.5914178016015,44.0483025181234,0.304,97.37,0.1857,0.1009,1.47,41.1,NA,NA
"B2","B2A09","D3",2021-06-04,0.2117,57.49,1.57,45.12,0.277,54.49,0.2178,0.1717,1,44.77,NA,NA
"B2","B2A10","D1",2021-06-04,0.2938,45.72,2.23,44.58,0.299,89.04,0.2501,0.1007,0.84,35.79,NA,NA
"B2","B2A10","D2",2021-06-04,0.2444,45.21,1.89458070375969,43.6563982305483,0.307,96.47,0.193,0.1003,0.96,39.9,NA,NA
"B2","B2A10","D3",2021-06-04,0.1998,39.93,1.85449996820274,43.6082550502086,0.222,137.74,0.2872,0.1345,0.697654645792861,38.6420755074445,NA,NA
"B2","B2A12","D1",2021-06-07,0.1864,40.57,1.76950738733018,45.5674499914195,0.324,78.36,0.1625,0.1315,1.11,47.37,NA,NA
"B2","B2A12","D2",2021-06-07,0.2236,49,2.01935959328395,46.0736710710699,0.337,84.53,0.136,0.1102,1.22626917514877,43.5928943294417,NA,NA
"B2","B2A12","D3",2021-06-07,0.2404,59.15,1.76,46.27,0.327,78.75,0.1642,0.1121,1.0486026864515,41.8388460727596,NA,NA
"B2","B2A13","D1",2021-06-07,0.1866,56.39,1.6413265703843,44.3325595557837,0.296,61.33,0.2376,0.1416,1.55199660194439,40.3702400495088,NA,NA
"B2","B2A13","D2",2021-06-07,0.2168,63.35,1.33,46.48,0.212,250.78,0.1585,0.0815,1.49,39.36,NA,NA
"B2","B2A13","D3",2021-06-07,0.2113,65.65,1.33867968060316,44.6999063411559,0.236,152.88,0.212,0.1199,0.761806107509478,43.9527852142666,NA,NA
"B2","B2A14","D1",2021-06-07,0.2121,47.25,2.23,46.64,0.248,139.45,0.1608,0.1174,1.03531532338057,45.3991340536991,NA,NA
"B2","B2A14","D2",2021-06-07,0.1802,40.93,1.82,46.75,0.318,74.87,0.1817,0.133,1.19427821887371,43.9855854194357,NA,NA
"B2","B2A14","D3",2021-06-07,0.2195,47.67,2.13597169241183,45.254182055985,0.261,148.21,0.1349,0.096,1.26,40.95,NA,NA
"B2","B2A15","D1",2021-06-04,0.2408,51.48,5.07,48.22,0.211,131.63,0.1597,0.1206,1.43,26.47,NA,NA
"B2","B2A15","D2",2021-06-04,0.2318,44.23,5.4,49.18,0.191,244.91,0.1258,0.0972,1.64770950801818,35.5185445720887,NA,NA
"B2","B2A15","D3",2021-06-04,0.1964,39.49,4.38445223874185,47.1302662909717,0.249,150.88,0.1266,0.1046,1.63,41.13,NA,NA
"B2","B2A16","D1",2021-06-04,0.1797,43.44,1.86,46.74,0.3,114.66,0.141,0.1024,1.42,46.15,NA,NA
"B2","B2A16","D2",2021-06-04,0.1921,55.12,2.21623562329569,44.9612608778155,0.27,148.96,0.2009,0.0938,1.55,42.78,NA,NA
"B2","B2A16","D3",2021-06-04,0.1953,37.64,2.72559470054075,45.2089418110051,0.239,107.42,0.1932,0.1268,1.77011467344919,39.5496193276457,NA,NA
"B2","B2A17","D1",2021-06-04,0.2039,39.37,2.81310807005027,44.7995005291163,0.285,104.99,0.1648,0.1063,1.08,43.91,NA,NA
"B2","B2A17","D2",2021-06-04,0.2227,36.17,3.91,46.25,0.246,120.18,0.1653,0.1097,2.04734517192648,41.478702378309,NA,NA
"B2","B2A17","D3",2021-06-04,0.2033,33.7,3.05944682173401,45.5608777732199,0.233,106.11,0.1904,0.1596,1.25156250523168,41.7985570331475,NA,NA
"B2","B2A18","D1",2021-06-04,0.2761,47.16,2.62,45.78,0.226,187.42,0.2198,0.1094,1.04,40.74,NA,NA
"B2","B2A18","D2",2021-06-04,0.2964,40.24,2.22,45.16,0.191,211.73,0.1753,0.1232,0.81,44.76,NA,NA
"B2","B2A18","D3",2021-06-04,0.3632,49.96,1.9,38.71,0.197,198.51,0.1937,0.1255,1.28,38.85,NA,NA
"B2","B2A19","D1",2021-06-04,0.198,44.63,2.29795761520704,43.9049080160562,0.31,109.11,0.2039,0.0848,1.32,36.94,NA,NA
"B2","B2A19","D2",2021-06-04,0.1864,41.72,2.37699705970428,44.0159449570393,0.275,174.55,0.1527,0.0814,1.74,40.24,NA,NA
"B2","B2A19","D3",2021-06-04,0.1473,40.89,1.97,41.44,0.252,173.22,0.1878,0.0859,1.63,35.6,"scanned bag not found in oven; check in freez dried samples",NA
"B2","B2A20","D1",2021-06-04,0.1819,54.13,2.03269631959351,44.2182126187867,0.242,152.23,0.1493,0.1006,1.67597901346514,42.5850240138944,NA,NA
"B2","B2A20","D2",2021-06-04,0.2154,46.4,1.76215835900945,44.8619244642551,0.252,131.12,0.1576,0.1145,1.38449190603315,37.2671394503227,NA,NA
"B2","B2A20","D3",2021-06-04,0.2031,47.56,2.25,45.2,0.246,119.12,0.1615,0.1017,1.19,45.84,NA,NA
"B2","B2A21","D1",2021-06-04,0.1698,42.2,4.03761742862901,46.2395968069712,0.219,201.15,0.1282,0.1037,1.74,42.58,NA,NA
"B2","B2A21","D2",2021-06-04,0.2406,45.7,3.69834159780593,46.8536825041599,0.272,105.51,0.154,0.1055,2.20177577409644,39.8918293004079,NA,NA
"B2","B2A21","D3",2021-06-04,0.1781,46.96,1.72018712233924,43.1903546561641,0.26,99.92,0.1704,0.1299,1.55,36.93,NA,NA
"B2","B2A22","D1",2021-06-04,0.1587,33.63,4.11502494079077,46.9340133166229,0.186,346.35,0.2742,0.0867,1.11,43.78,NA,NA
